Rank,Club,Country,Level,Elo,From,To
None,Basel,SUI,1,1297.43664551,1933-07-01,1933-08-27
None,Basel,SUI,1,1300.23791504,1933-08-28,1933-09-03
None,Basel,SUI,1,1307.66308594,1933-09-04,1933-09-10
None,Basel,SUI,1,1316.60534668,1933-09-11,1933-10-08
None,Basel,SUI,1,1324.61499023,1933-10-09,1933-10-15
None,Basel,SUI,1,1318.41357422,1933-10-16,1933-10-22
None,Basel,SUI,1,1322.90112305,1933-10-23,1933-10-29
None,Basel,SUI,1,1330.6920166,1933-10-30,1933-11-12
None,Basel,SUI,1,1332.97106934,1933-11-13,1933-11-26
None,Basel,SUI,1,1353.56347656,1933-11-27,1933-12-17
None,Basel,SUI,1,1331.15771484,1933-12-18,1933-12-25
None,Basel,SUI,1,1321.65600586,1933-12-26,1934-01-01
None,Basel,SUI,1,1327.92749023,1934-01-02,1934-01-07
None,Basel,SUI,1,1315.26538086,1934-01-08,1934-01-14
None,Basel,SUI,1,1318.20617676,1934-01-15,1934-01-21
None,Basel,SUI,1,1313.82592773,1934-01-22,1934-02-18
None,Basel,SUI,1,1310.39428711,1934-02-19,1934-02-25
None,Basel,SUI,1,1312.92553711,1934-02-26,1934-03-11
None,Basel,SUI,1,1322.97802734,1934-03-12,1934-03-18
None,Basel,SUI,1,1338.76452637,1934-03-19,1934-04-08
None,Basel,SUI,1,1334.44421387,1934-04-09,1934-04-15
None,Basel,SUI,1,1350.703125,1934-04-16,1934-04-22
None,Basel,SUI,1,1359.24353027,1934-04-23,1934-04-29
None,Basel,SUI,1,1353.49084473,1934-04-30,1934-05-06
None,Basel,SUI,1,1358.90270996,1934-05-07,1934-05-13
None,Basel,SUI,1,1348.65258789,1934-05-14,1934-05-19
None,Basel,SUI,1,1340.31591797,1934-05-20,1934-05-24
None,Basel,SUI,1,1348.84545898,1934-05-25,1934-06-17
None,Basel,SUI,1,1345.78027344,1934-06-18,1934-06-24
None,Basel,SUI,1,1350.63391113,1934-06-25,1934-07-01
None,Basel,SUI,1,1354.58117676,1934-07-02,1934-08-26
None,Basel,SUI,1,1361.15539551,1934-08-27,1934-09-02
None,Basel,SUI,1,1367.95397949,1934-09-03,1934-09-09
None,Basel,SUI,1,1376.34460449,1934-09-10,1934-09-16
None,Basel,SUI,1,1382.31079102,1934-09-17,1934-09-23
None,Basel,SUI,1,1375.01635742,1934-09-24,1934-09-30
None,Basel,SUI,1,1381.91760254,1934-10-01,1934-10-21
None,Basel,SUI,1,1383.90136719,1934-10-22,1934-10-28
None,Basel,SUI,1,1369.82995605,1934-10-29,1934-11-25
None,Basel,SUI,1,1378.0736084,1934-11-26,1934-12-09
None,Basel,SUI,1,1397.69287109,1934-12-10,1934-12-16
None,Basel,SUI,1,1413.13098145,1934-12-17,1934-12-23
None,Basel,SUI,1,1406.94458008,1934-12-24,1934-12-30
None,Basel,SUI,1,1398.96899414,1934-12-31,1935-01-06
None,Basel,SUI,1,1397.22595215,1935-01-07,1935-01-13
None,Basel,SUI,1,1390.30187988,1935-01-14,1935-01-20
None,Basel,SUI,1,1395.96508789,1935-01-21,1935-02-17
None,Basel,SUI,1,1386.59094238,1935-02-18,1935-02-24
None,Basel,SUI,1,1370.59094238,1935-02-25,1935-03-10
None,Basel,SUI,1,1365.7611084,1935-03-11,1935-03-24
None,Basel,SUI,1,1353.80529785,1935-03-25,1935-03-31
None,Basel,SUI,1,1358.12414551,1935-04-01,1935-04-07
None,Basel,SUI,1,1353.22290039,1935-04-08,1935-04-14
None,Basel,SUI,1,1346.24182129,1935-04-15,1935-04-28
None,Basel,SUI,1,1332.36535645,1935-04-29,1935-05-12
None,Basel,SUI,1,1342.04370117,1935-05-13,1935-05-19
None,Basel,SUI,1,1341.55554199,1935-05-20,1935-08-25
None,Basel,SUI,1,1331.7824707,1935-08-26,1935-09-01
None,Basel,SUI,1,1335.14074707,1935-09-02,1935-09-08
None,Basel,SUI,1,1342.79602051,1935-09-09,1935-09-22
None,Basel,SUI,1,1336.00585938,1935-09-23,1935-09-29
None,Basel,SUI,1,1344.02062988,1935-09-30,1935-10-13
None,Basel,SUI,1,1336.55236816,1935-10-14,1935-11-17
None,Basel,SUI,1,1330.2355957,1935-11-18,1935-11-24
None,Basel,SUI,1,1319.45251465,1935-11-25,1935-12-08
None,Basel,SUI,1,1323.41796875,1935-12-09,1935-12-15
None,Basel,SUI,1,1331.33435059,1935-12-16,1935-12-22
None,Basel,SUI,1,1324.25598145,1935-12-23,1935-12-29
None,Basel,SUI,1,1332.10595703,1935-12-30,1936-01-05
None,Basel,SUI,1,1334.01721191,1936-01-06,1936-01-12
None,Basel,SUI,1,1320.04602051,1936-01-13,1936-01-19
None,Basel,SUI,1,1323.55578613,1936-01-20,1936-01-26
None,Basel,SUI,1,1317.77636719,1936-01-27,1936-02-09
None,Basel,SUI,1,1326.57446289,1936-02-10,1936-02-16
None,Basel,SUI,1,1318.38366699,1936-02-17,1936-02-23
None,Basel,SUI,1,1310.3840332,1936-02-24,1936-03-01
None,Basel,SUI,1,1300.03234863,1936-03-02,1936-03-22
None,Basel,SUI,1,1308.30871582,1936-03-23,1936-03-29
None,Basel,SUI,1,1303.0859375,1936-03-30,1936-04-19
None,Basel,SUI,1,1294.16052246,1936-04-20,1936-04-26
None,Basel,SUI,1,1286.33435059,1936-04-27,1936-05-06
None,Basel,SUI,1,1313.33435059,1936-05-07,1936-05-10
None,Basel,SUI,1,1310.49023438,1936-05-11,1936-05-17
None,Basel,SUI,1,1315.70727539,1936-05-18,1936-08-30
None,Basel,SUI,1,1312.5769043,1936-08-31,1936-09-06
None,Basel,SUI,1,1291.94897461,1936-09-07,1936-09-13
None,Basel,SUI,1,1305.30078125,1936-09-14,1936-09-27
None,Basel,SUI,1,1303.56030273,1936-09-28,1936-10-11
None,Basel,SUI,1,1296.83581543,1936-10-12,1936-10-18
None,Basel,SUI,1,1303.17993164,1936-10-19,1936-11-15
None,Basel,SUI,1,1299.91699219,1936-11-16,1936-11-22
None,Basel,SUI,1,1287.81738281,1936-11-23,1936-11-29
None,Basel,SUI,1,1290.47607422,1936-11-30,1936-12-13
None,Basel,SUI,1,1284.03479004,1936-12-14,1936-12-27
None,Basel,SUI,1,1280.53845215,1936-12-28,1937-01-03
None,Basel,SUI,1,1295.8605957,1937-01-04,1937-01-10
None,Basel,SUI,1,1294.83398438,1937-01-11,1937-01-17
None,Basel,SUI,1,1289.2557373,1937-01-18,1937-01-24
None,Basel,SUI,1,1286.04406738,1937-01-25,1937-01-31
None,Basel,SUI,1,1282.76501465,1937-02-01,1937-02-14
None,Basel,SUI,1,1286.05700684,1937-02-15,1937-03-01
None,Basel,SUI,1,1281.60217285,1937-03-02,1937-04-04
None,Basel,SUI,1,1295.18457031,1937-04-05,1937-04-25
None,Basel,SUI,1,1299.89331055,1937-04-26,1937-05-09
None,Basel,SUI,1,1308.89453125,1937-05-10,1937-05-13
None,Basel,SUI,1,1316.17932129,1937-05-14,1937-05-30
None,Basel,SUI,1,1306.20996094,1937-05-31,1937-06-06
None,Basel,SUI,1,1302.82592773,1937-06-07,1937-06-13
None,Basel,SUI,1,1302.70056152,1937-06-14,1937-06-20
None,Basel,SUI,1,1310.25036621,1937-06-21,1937-08-29
None,Basel,SUI,1,1316.80493164,1937-08-30,1937-09-05
None,Basel,SUI,1,1334.12890625,1937-09-06,1937-09-12
None,Basel,SUI,1,1350.40014648,1937-09-13,1937-09-26
None,Basel,SUI,1,1341.72155762,1937-09-27,1937-10-17
None,Basel,SUI,1,1352.63671875,1937-10-18,1937-10-24
None,Basel,SUI,1,1349.91467285,1937-10-25,1937-11-21
None,Basel,SUI,1,1343.88891602,1937-11-22,1937-11-28
None,Basel,SUI,1,1347.77416992,1937-11-29,1937-12-12
None,Basel,SUI,1,1334.31176758,1937-12-13,1937-12-19
None,Basel,SUI,1,1338.28112793,1937-12-20,1937-12-26
None,Basel,SUI,1,1334.08154297,1937-12-27,1938-01-16
None,Basel,SUI,1,1342.23815918,1938-01-17,1938-01-23
None,Basel,SUI,1,1355.15441895,1938-01-24,1938-02-13
None,Basel,SUI,1,1359.37988281,1938-02-14,1938-02-20
None,Basel,SUI,1,1378.19189453,1938-02-21,1938-02-27
None,Basel,SUI,1,1386.6262207,1938-02-28,1938-03-20
None,Basel,SUI,1,1395.54541016,1938-03-21,1938-03-27
None,Basel,SUI,1,1384.4699707,1938-03-28,1938-04-10
