Rank,Club,Country,Level,Elo,From,To
None,Celtic,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Celtic,SCO,1,1583.16955566,1946-08-11,1946-08-14
None,Celtic,SCO,1,1586.53991699,1946-08-15,1946-08-17
None,Celtic,SCO,1,1577.1496582,1946-08-18,1946-08-21
None,Celtic,SCO,1,1567.30822754,1946-08-22,1946-08-28
None,Celtic,SCO,1,1569.04138184,1946-08-29,1946-08-31
None,Celtic,SCO,1,1579.47705078,1946-09-01,1946-09-04
None,Celtic,SCO,1,1560.57800293,1946-09-05,1946-09-07
None,Celtic,SCO,1,1552.48596191,1946-09-08,1946-09-14
None,Celtic,SCO,1,1546.2902832,1946-09-15,1946-10-20
None,Celtic,SCO,1,1514.2902832,1946-10-21,1946-11-02
None,Celtic,SCO,1,1533.90905762,1946-11-03,1946-11-09
None,Celtic,SCO,1,1546.93334961,1946-11-10,1946-11-16
None,Celtic,SCO,1,1538.5670166,1946-11-17,1946-11-23
None,Celtic,SCO,1,1549.41101074,1946-11-24,1946-11-30
None,Celtic,SCO,1,1538.57226562,1946-12-01,1946-12-07
None,Celtic,SCO,1,1533.56091309,1946-12-08,1946-12-14
None,Celtic,SCO,1,1531.8536377,1946-12-15,1946-12-21
None,Celtic,SCO,1,1527.15466309,1946-12-22,1946-12-25
None,Celtic,SCO,1,1531.81018066,1946-12-26,1946-12-28
None,Celtic,SCO,1,1535.19995117,1946-12-29,1947-01-01
None,Celtic,SCO,1,1540.47131348,1947-01-02,1947-01-02
None,Celtic,SCO,1,1522.95654297,1947-01-03,1947-01-04
None,Celtic,SCO,1,1530.84533691,1947-01-05,1947-01-11
None,Celtic,SCO,1,1542.67736816,1947-01-12,1947-01-18
None,Celtic,SCO,1,1545.58776855,1947-01-19,1947-02-22
None,Celtic,SCO,1,1550.35046387,1947-02-23,1947-03-22
None,Celtic,SCO,1,1560.51428223,1947-03-23,1947-03-29
None,Celtic,SCO,1,1569.11340332,1947-03-30,1947-04-12
None,Celtic,SCO,1,1562.40551758,1947-04-13,1947-04-13
