Rank,Club,Country,Level,Elo,From,To
None,Dynamo Kyiv,URS,1,1271.28710938,1950-01-01,1950-04-18
None,Dynamo Kyiv,URS,1,1268.5411377,1950-04-19,1950-04-20
None,Dynamo Kyiv,URS,1,1258.68408203,1950-04-21,1950-04-24
None,Dynamo Kyiv,URS,1,1264.07324219,1950-04-25,1950-04-27
None,Dynamo Kyiv,URS,1,1261.54724121,1950-04-28,1950-05-02
None,Dynamo Kyiv,URS,1,1263.94775391,1950-05-03,1950-05-07
None,Dynamo Kyiv,URS,1,1250.10180664,1950-05-08,1950-05-11
None,Dynamo Kyiv,URS,1,1268.0645752,1950-05-12,1950-05-17
None,Dynamo Kyiv,URS,1,1260.31066895,1950-05-18,1950-05-27
None,Dynamo Kyiv,URS,1,1246.66894531,1950-05-28,1950-05-31
None,Dynamo Kyiv,URS,1,1249.10656738,1950-06-01,1950-06-04
None,Dynamo Kyiv,URS,1,1243.12768555,1950-06-05,1950-06-09
None,Dynamo Kyiv,URS,1,1237.33691406,1950-06-10,1950-06-13
None,Dynamo Kyiv,URS,1,1240.71655273,1950-06-14,1950-06-18
None,Dynamo Kyiv,URS,1,1250.57629395,1950-06-19,1950-06-22
None,Dynamo Kyiv,URS,1,1260.0234375,1950-06-23,1950-06-30
None,Dynamo Kyiv,URS,1,1266.56555176,1950-07-01,1950-07-04
None,Dynamo Kyiv,URS,1,1275.86096191,1950-07-05,1950-07-09
None,Dynamo Kyiv,URS,1,1267.54321289,1950-07-10,1950-07-13
None,Dynamo Kyiv,URS,1,1256.42944336,1950-07-14,1950-07-17
None,Dynamo Kyiv,URS,1,1259.23571777,1950-07-18,1950-07-21
None,Dynamo Kyiv,URS,1,1272.63354492,1950-07-22,1950-07-26
None,Dynamo Kyiv,URS,1,1257.47155762,1950-07-27,1950-08-01
None,Dynamo Kyiv,URS,1,1246.91052246,1950-08-02,1950-08-07
None,Dynamo Kyiv,URS,1,1238.45458984,1950-08-08,1950-08-11
None,Dynamo Kyiv,URS,1,1235.37768555,1950-08-12,1950-08-15
None,Dynamo Kyiv,URS,1,1256.62426758,1950-08-16,1950-08-19
None,Dynamo Kyiv,URS,1,1248.80554199,1950-08-20,1950-08-23
None,Dynamo Kyiv,URS,1,1244.66503906,1950-08-24,1950-08-27
None,Dynamo Kyiv,URS,1,1254.1463623,1950-08-28,1950-08-31
None,Dynamo Kyiv,URS,1,1252.54821777,1950-09-01,1950-09-05
None,Dynamo Kyiv,URS,1,1245.87304688,1950-09-06,1950-09-10
None,Dynamo Kyiv,URS,1,1248.69958496,1950-09-11,1950-09-14
None,Dynamo Kyiv,URS,1,1255.7142334,1950-09-15,1950-09-18
None,Dynamo Kyiv,URS,1,1254.38525391,1950-09-19,1950-09-26
None,Dynamo Kyiv,URS,1,1243.8359375,1950-09-27,1950-10-03
None,Dynamo Kyiv,URS,1,1238.50244141,1950-10-04,1951-04-11
None,Dynamo Kyiv,URS,1,1224.9498291,1951-04-12,1951-04-16
None,Dynamo Kyiv,URS,1,1228.08093262,1951-04-17,1951-04-22
None,Dynamo Kyiv,URS,1,1237.41333008,1951-04-23,1951-04-27
None,Dynamo Kyiv,URS,1,1240.71105957,1951-04-28,1951-05-02
None,Dynamo Kyiv,URS,1,1240.49121094,1951-05-03,1951-05-10
None,Dynamo Kyiv,URS,1,1239.38134766,1951-05-11,1951-05-15
None,Dynamo Kyiv,URS,1,1253.85852051,1951-05-16,1951-05-22
None,Dynamo Kyiv,URS,1,1265.53027344,1951-05-23,1951-05-27
None,Dynamo Kyiv,URS,1,1264.22290039,1951-05-28,1951-06-02
None,Dynamo Kyiv,URS,1,1257.49719238,1951-06-03,1951-06-07
None,Dynamo Kyiv,URS,1,1256.52111816,1951-06-08,1951-06-11
None,Dynamo Kyiv,URS,1,1243.32788086,1951-06-12,1951-06-17
None,Dynamo Kyiv,URS,1,1248.5994873,1951-06-18,1951-06-21
None,Dynamo Kyiv,URS,1,1250.39160156,1951-06-22,1951-06-26
None,Dynamo Kyiv,URS,1,1261.06884766,1951-06-27,1951-06-30
None,Dynamo Kyiv,URS,1,1258.18933105,1951-07-01,1951-07-06
None,Dynamo Kyiv,URS,1,1262.29223633,1951-07-07,1951-07-11
None,Dynamo Kyiv,URS,1,1260.12988281,1951-07-12,1951-07-18
None,Dynamo Kyiv,URS,1,1251.6418457,1951-07-19,1951-08-10
None,Dynamo Kyiv,URS,1,1264.0916748,1951-08-11,1951-08-21
None,Dynamo Kyiv,URS,1,1273.0682373,1951-08-22,1951-08-30
None,Dynamo Kyiv,URS,1,1277.7064209,1951-08-31,1951-09-04
None,Dynamo Kyiv,URS,1,1268.51586914,1951-09-05,1951-09-07
None,Dynamo Kyiv,URS,1,1262.19836426,1951-09-08,1951-09-12
None,Dynamo Kyiv,URS,1,1258.32458496,1951-09-13,1951-09-18
None,Dynamo Kyiv,URS,1,1273.08068848,1951-09-19,1951-09-22
None,Dynamo Kyiv,URS,1,1267.72875977,1951-09-23,1951-09-27
None,Dynamo Kyiv,URS,1,1263.61755371,1951-09-28,1952-05-12
None,Dynamo Kyiv,URS,1,1249.61755371,1952-05-13,1952-05-16
None,Dynamo Kyiv,URS,1,1256.61755371,1952-05-17,1952-05-25
None,Dynamo Kyiv,URS,1,1262.61755371,1952-05-26,1952-05-31
None,Dynamo Kyiv,URS,1,1277.61755371,1952-06-01,1952-06-12
None,Dynamo Kyiv,URS,1,1272.61755371,1952-06-13,1952-06-22
