Rank,Club,Country,Level,Elo,From,To
None,Fenerbahce,TUR,1,1194.63989258,1959-07-04,1959-08-29
None,Fenerbahce,TUR,1,1199.78918457,1959-08-30,1959-09-02
None,Fenerbahce,TUR,1,1196.70373535,1959-09-03,1959-09-05
None,Fenerbahce,TUR,1,1206.69348145,1959-09-06,1959-09-13
None,Fenerbahce,TUR,1,1206.87780762,1959-09-14,1959-09-23
None,Fenerbahce,TUR,1,1287.13098145,1959-09-24,1959-10-03
None,Fenerbahce,TUR,1,1283.13513184,1959-10-04,1959-10-04
None,Fenerbahce,TUR,1,1291.02233887,1959-10-05,1959-10-14
None,Fenerbahce,TUR,1,1300.28222656,1959-10-15,1959-10-17
None,Fenerbahce,TUR,1,1312.04638672,1959-10-18,1959-10-18
None,Fenerbahce,TUR,1,1305.13317871,1959-10-19,1959-10-28
None,Fenerbahce,TUR,1,1310.76269531,1959-10-29,1959-10-31
None,Fenerbahce,TUR,1,1319.74975586,1959-11-01,1959-11-01
None,Fenerbahce,TUR,1,1326.48913574,1959-11-02,1959-11-07
None,Fenerbahce,TUR,1,1330.73242188,1959-11-08,1959-11-08
None,Fenerbahce,TUR,1,1339.0916748,1959-11-09,1959-11-12
None,Fenerbahce,TUR,1,1320.96228027,1959-11-13,1959-11-19
None,Fenerbahce,TUR,1,1323.92944336,1959-11-20,1959-11-25
None,Fenerbahce,TUR,1,1331.48742676,1959-11-26,1959-12-03
None,Fenerbahce,TUR,1,1328.68566895,1959-12-04,1959-12-17
None,Fenerbahce,TUR,1,1333.43554688,1959-12-18,1959-12-23
None,Fenerbahce,TUR,1,1323.66333008,1959-12-24,1960-01-03
None,Fenerbahce,TUR,1,1322.32727051,1960-01-04,1960-01-09
None,Fenerbahce,TUR,1,1329.32800293,1960-01-10,1960-01-10
None,Fenerbahce,TUR,1,1329.78369141,1960-01-11,1960-01-31
None,Fenerbahce,TUR,1,1338.26513672,1960-02-01,1960-02-03
None,Fenerbahce,TUR,1,1350.8416748,1960-02-04,1960-02-07
None,Fenerbahce,TUR,1,1357.05725098,1960-02-08,1960-02-17
None,Fenerbahce,TUR,1,1362.79321289,1960-02-18,1960-02-27
None,Fenerbahce,TUR,1,1368.90356445,1960-02-28,1960-03-05
None,Fenerbahce,TUR,1,1372.5625,1960-03-06,1960-03-06
None,Fenerbahce,TUR,1,1375.36413574,1960-03-07,1960-03-12
None,Fenerbahce,TUR,1,1374.03796387,1960-03-13,1960-03-13
None,Fenerbahce,TUR,1,1363.27661133,1960-03-14,1960-03-16
None,Fenerbahce,TUR,1,1371.01000977,1960-03-17,1960-03-26
None,Fenerbahce,TUR,1,1377.04248047,1960-03-27,1960-03-27
None,Fenerbahce,TUR,1,1385.43554688,1960-03-28,1960-04-13
None,Fenerbahce,TUR,1,1379.8939209,1960-04-14,1960-04-20
None,Fenerbahce,TUR,1,1379.84057617,1960-04-21,1960-04-23
None,Fenerbahce,TUR,1,1389.19458008,1960-04-24,1960-04-24
None,Fenerbahce,TUR,1,1397.54089355,1960-04-25,1960-05-14
None,Fenerbahce,TUR,1,1391.0703125,1960-05-15,1960-05-15
None,Fenerbahce,TUR,1,1393.17089844,1960-05-16,1960-06-12
None,Fenerbahce,TUR,1,1403.59313965,1960-06-13,1960-08-27
None,Fenerbahce,TUR,1,1407.36523438,1960-08-28,1960-09-03
None,Fenerbahce,TUR,1,1412.48486328,1960-09-04,1960-09-04
None,Fenerbahce,TUR,1,1410.11694336,1960-09-05,1960-09-11
None,Fenerbahce,TUR,1,1413.41674805,1960-09-12,1960-09-14
None,Fenerbahce,TUR,1,1407.32678223,1960-09-15,1960-09-24
None,Fenerbahce,TUR,1,1411.76306152,1960-09-25,1960-09-28
None,Fenerbahce,TUR,1,1411.52526855,1960-09-29,1960-10-15
None,Fenerbahce,TUR,1,1425.42797852,1960-10-16,1960-10-16
None,Fenerbahce,TUR,1,1429.46032715,1960-10-17,1960-10-21
None,Fenerbahce,TUR,1,1435.19934082,1960-10-22,1960-10-22
None,Fenerbahce,TUR,1,1433.48046875,1960-10-23,1960-10-29
None,Fenerbahce,TUR,1,1430.64416504,1960-10-30,1960-11-06
None,Fenerbahce,TUR,1,1428.11352539,1960-11-07,1960-11-19
None,Fenerbahce,TUR,1,1423.04150391,1960-11-20,1960-11-20
None,Fenerbahce,TUR,1,1422.4029541,1960-11-21,1960-12-10
None,Fenerbahce,TUR,1,1423.62097168,1960-12-11,1960-12-11
None,Fenerbahce,TUR,1,1427.0402832,1960-12-12,1960-12-17
None,Fenerbahce,TUR,1,1429.29577637,1960-12-18,1960-12-18
None,Fenerbahce,TUR,1,1405.8861084,1960-12-19,1960-12-25
None,Fenerbahce,TUR,1,1393.89855957,1960-12-26,1960-12-31
None,Fenerbahce,TUR,1,1397.68688965,1961-01-01,1961-01-14
None,Fenerbahce,TUR,1,1403.35974121,1961-01-15,1961-01-15
None,Fenerbahce,TUR,1,1406.67736816,1961-01-16,1961-01-28
None,Fenerbahce,TUR,1,1410.7010498,1961-01-29,1961-01-29
None,Fenerbahce,TUR,1,1413.1583252,1961-01-30,1961-02-11
None,Fenerbahce,TUR,1,1419.88000488,1961-02-12,1961-02-12
None,Fenerbahce,TUR,1,1423.26428223,1961-02-13,1961-02-18
None,Fenerbahce,TUR,1,1429.10253906,1961-02-19,1961-03-04
None,Fenerbahce,TUR,1,1431.46643066,1961-03-05,1961-03-05
None,Fenerbahce,TUR,1,1425.91064453,1961-03-06,1961-03-18
None,Fenerbahce,TUR,1,1431.27612305,1961-03-19,1961-03-19
None,Fenerbahce,TUR,1,1438.9119873,1961-03-20,1961-03-26
None,Fenerbahce,TUR,1,1442.43615723,1961-03-27,1961-04-16
None,Fenerbahce,TUR,1,1446.98400879,1961-04-17,1961-05-03
None,Fenerbahce,TUR,1,1457.99072266,1961-05-04,1961-05-06
None,Fenerbahce,TUR,1,1460.58740234,1961-05-07,1961-05-07
None,Fenerbahce,TUR,1,1452.77539062,1961-05-08,1961-05-19
None,Fenerbahce,TUR,1,1449.12011719,1961-05-20,1961-06-24
None,Fenerbahce,TUR,1,1454.38574219,1961-06-25,1961-06-25
None,Fenerbahce,TUR,1,1448.55053711,1961-06-26,1961-08-26
None,Fenerbahce,TUR,1,1450.42028809,1961-08-27,1961-09-02
None,Fenerbahce,TUR,1,1453.09448242,1961-09-03,1961-09-03
None,Fenerbahce,TUR,1,1456.6192627,1961-09-04,1961-09-09
None,Fenerbahce,TUR,1,1445.03625488,1961-09-10,1961-09-10
None,Fenerbahce,TUR,1,1427.29382324,1961-09-11,1961-09-23
None,Fenerbahce,TUR,1,1429.29785156,1961-09-24,1961-09-24
None,Fenerbahce,TUR,1,1414.77453613,1961-09-25,1961-10-14
None,Fenerbahce,TUR,1,1421.96887207,1961-10-15,1961-10-16
None,Fenerbahce,TUR,1,1419.91711426,1961-10-17,1961-10-18
None,Fenerbahce,TUR,1,1417.71533203,1961-10-19,1961-11-04
None,Fenerbahce,TUR,1,1412.27966309,1961-11-05,1961-11-05
None,Fenerbahce,TUR,1,1415.53930664,1961-11-06,1961-11-18
None,Fenerbahce,TUR,1,1414.51281738,1961-11-19,1961-11-26
None,Fenerbahce,TUR,1,1409.3536377,1961-11-27,1961-12-03
None,Fenerbahce,TUR,1,1408.40930176,1961-12-04,1962-01-01
None,Fenerbahce,TUR,1,1403.66784668,1962-01-02,1962-01-07
None,Fenerbahce,TUR,1,1408.62915039,1962-01-08,1962-01-14
None,Fenerbahce,TUR,1,1412.85717773,1962-01-15,1962-01-27
None,Fenerbahce,TUR,1,1411.09619141,1962-01-28,1962-02-03
None,Fenerbahce,TUR,1,1413.78405762,1962-02-04,1962-02-10
None,Fenerbahce,TUR,1,1415.82714844,1962-02-11,1962-02-24
None,Fenerbahce,TUR,1,1422.72790527,1962-02-25,1962-02-25
None,Fenerbahce,TUR,1,1431.81542969,1962-02-26,1962-03-04
None,Fenerbahce,TUR,1,1419.77404785,1962-03-05,1962-03-10
None,Fenerbahce,TUR,1,1422.71276855,1962-03-11,1962-03-11
None,Fenerbahce,TUR,1,1417.171875,1962-03-12,1962-03-17
None,Fenerbahce,TUR,1,1413.33154297,1962-03-18,1962-03-18
None,Fenerbahce,TUR,1,1419.76696777,1962-03-19,1962-03-28
None,Fenerbahce,TUR,1,1426.0369873,1962-03-29,1962-04-04
None,Fenerbahce,TUR,1,1429.39172363,1962-04-05,1962-04-14
None,Fenerbahce,TUR,1,1434.28674316,1962-04-15,1962-04-15
None,Fenerbahce,TUR,1,1427.66845703,1962-04-16,1962-04-22
None,Fenerbahce,TUR,1,1429.70605469,1962-04-23,1962-05-05
None,Fenerbahce,TUR,1,1434.47839355,1962-05-06,1962-05-06
None,Fenerbahce,TUR,1,1439.54919434,1962-05-07,1962-05-10
None,Fenerbahce,TUR,1,1441.64379883,1962-05-11,1962-05-13
None,Fenerbahce,TUR,1,1451.30053711,1962-05-14,1962-05-24
None,Fenerbahce,TUR,1,1457.27026367,1962-05-25,1962-06-06
None,Fenerbahce,TUR,1,1445.06555176,1962-06-07,1962-06-13
None,Fenerbahce,TUR,1,1429.53637695,1962-06-14,1962-09-08
None,Fenerbahce,TUR,1,1422.84777832,1962-09-09,1962-09-09
None,Fenerbahce,TUR,1,1431.41271973,1962-09-10,1962-09-15
None,Fenerbahce,TUR,1,1435.7166748,1962-09-16,1962-09-16
None,Fenerbahce,TUR,1,1449.80456543,1962-09-17,1962-09-23
None,Fenerbahce,TUR,1,1452.8067627,1962-09-24,1962-10-06
None,Fenerbahce,TUR,1,1454.453125,1962-10-07,1962-10-13
None,Fenerbahce,TUR,1,1458.21728516,1962-10-14,1962-10-28
None,Fenerbahce,TUR,1,1465.52832031,1962-10-29,1962-11-07
None,Fenerbahce,TUR,1,1445.52526855,1962-11-08,1962-11-11
None,Fenerbahce,TUR,1,1442.75610352,1962-11-12,1962-11-18
None,Fenerbahce,TUR,1,1424.97131348,1962-11-19,1962-12-08
None,Fenerbahce,TUR,1,1428.22937012,1962-12-09,1962-12-23
None,Fenerbahce,TUR,1,1421.08007812,1962-12-24,1963-01-06
None,Fenerbahce,TUR,1,1424.88049316,1963-01-07,1963-01-13
None,Fenerbahce,TUR,1,1421.49169922,1963-01-14,1963-01-23
None,Fenerbahce,TUR,1,1420.7722168,1963-01-24,1963-01-27
None,Fenerbahce,TUR,1,1423.75048828,1963-01-28,1963-02-03
None,Fenerbahce,TUR,1,1433.0246582,1963-02-04,1963-02-09
None,Fenerbahce,TUR,1,1435.03979492,1963-02-10,1963-02-25
None,Fenerbahce,TUR,1,1429.46032715,1963-02-26,1963-03-05
None,Fenerbahce,TUR,1,1432.33374023,1963-03-06,1963-03-13
None,Fenerbahce,TUR,1,1431.37536621,1963-03-14,1963-03-17
None,Fenerbahce,TUR,1,1434.67041016,1963-03-18,1963-03-20
None,Fenerbahce,TUR,1,1437.18908691,1963-03-21,1963-03-24
None,Fenerbahce,TUR,1,1429.51745605,1963-03-25,1963-04-06
None,Fenerbahce,TUR,1,1428.83752441,1963-04-07,1963-04-07
None,Fenerbahce,TUR,1,1417.55981445,1963-04-08,1963-04-20
None,Fenerbahce,TUR,1,1403.25012207,1963-04-21,1963-04-21
None,Fenerbahce,TUR,1,1405.77783203,1963-04-22,1963-04-24
None,Fenerbahce,TUR,1,1409.08789062,1963-04-25,1963-04-27
None,Fenerbahce,TUR,1,1411.71582031,1963-04-28,1963-04-28
None,Fenerbahce,TUR,1,1414.42614746,1963-04-29,1963-05-06
None,Fenerbahce,TUR,1,1422.75341797,1963-05-07,1963-05-08
None,Fenerbahce,TUR,1,1407.66235352,1963-05-09,1963-05-11
None,Fenerbahce,TUR,1,1414.51318359,1963-05-12,1963-05-12
None,Fenerbahce,TUR,1,1405.15246582,1963-05-13,1963-05-22
None,Fenerbahce,TUR,1,1414.94775391,1963-05-23,1963-05-25
None,Fenerbahce,TUR,1,1419.06738281,1963-05-26,1963-05-26
None,Fenerbahce,TUR,1,1412.68334961,1963-05-27,1963-06-02
None,Fenerbahce,TUR,1,1423.53088379,1963-06-03,1963-06-05
None,Fenerbahce,TUR,1,1427.4329834,1963-06-06,1963-06-08
None,Fenerbahce,TUR,1,1429.00512695,1963-06-09,1963-06-09
None,Fenerbahce,TUR,1,1433.73083496,1963-06-10,1963-06-16
None,Fenerbahce,TUR,1,1418.20092773,1963-06-17,1963-06-19
None,Fenerbahce,TUR,1,1416.43078613,1963-06-20,1963-06-23
None,Fenerbahce,TUR,1,1402.40270996,1963-06-24,1963-06-27
None,Fenerbahce,TUR,1,1401.62646484,1963-06-28,1963-08-24
None,Fenerbahce,TUR,1,1403.95812988,1963-08-25,1963-08-28
None,Fenerbahce,TUR,1,1408.17504883,1963-08-29,1963-09-01
None,Fenerbahce,TUR,1,1401.04077148,1963-09-02,1963-09-11
None,Fenerbahce,TUR,1,1427.25964355,1963-09-12,1963-09-12
None,Fenerbahce,TUR,1,1444.4140625,1963-09-13,1963-09-14
None,Fenerbahce,TUR,1,1429.15112305,1963-09-15,1963-09-15
None,Fenerbahce,TUR,1,1439.0826416,1963-09-16,1963-10-12
None,Fenerbahce,TUR,1,1451.33679199,1963-10-13,1963-10-16
None,Fenerbahce,TUR,1,1457.6697998,1963-10-17,1963-10-19
None,Fenerbahce,TUR,1,1460.87719727,1963-10-20,1963-10-20
None,Fenerbahce,TUR,1,1464.86633301,1963-10-21,1963-10-26
None,Fenerbahce,TUR,1,1458.46057129,1963-10-27,1963-10-27
None,Fenerbahce,TUR,1,1462.45483398,1963-10-28,1963-11-13
None,Fenerbahce,TUR,1,1472.52819824,1963-11-14,1963-11-14
