Rank,Club,Country,Level,Elo,From,To
None,Panathinaikos,GRE,1,1295.43664551,1959-07-04,1959-09-13
None,Panathinaikos,GRE,1,1295.6072998,1959-09-14,1959-09-23
None,Panathinaikos,GRE,1,1295.09887695,1959-09-24,1959-10-25
None,Panathinaikos,GRE,1,1300.2890625,1959-10-26,1959-11-01
None,Panathinaikos,GRE,1,1310.03808594,1959-11-02,1959-11-08
None,Panathinaikos,GRE,1,1307.36621094,1959-11-09,1959-11-18
None,Panathinaikos,GRE,1,1309.27685547,1959-11-19,1959-11-22
None,Panathinaikos,GRE,1,1316.1809082,1959-11-23,1959-11-29
None,Panathinaikos,GRE,1,1318.16186523,1959-11-30,1959-12-06
None,Panathinaikos,GRE,1,1327.29150391,1959-12-07,1959-12-13
None,Panathinaikos,GRE,1,1324.84558105,1959-12-14,1959-12-20
None,Panathinaikos,GRE,1,1338.4473877,1959-12-21,1960-01-10
None,Panathinaikos,GRE,1,1343.31835938,1960-01-11,1960-01-17
None,Panathinaikos,GRE,1,1349.78369141,1960-01-18,1960-01-24
None,Panathinaikos,GRE,1,1343.09521484,1960-01-25,1960-01-31
None,Panathinaikos,GRE,1,1336.2689209,1960-02-01,1960-02-07
None,Panathinaikos,GRE,1,1341.22924805,1960-02-08,1960-02-14
None,Panathinaikos,GRE,1,1338.53735352,1960-02-15,1960-02-21
None,Panathinaikos,GRE,1,1346.82519531,1960-02-22,1960-02-28
None,Panathinaikos,GRE,1,1352.71069336,1960-02-29,1960-03-09
None,Panathinaikos,GRE,1,1347.66918945,1960-03-10,1960-03-13
None,Panathinaikos,GRE,1,1352.94104004,1960-03-14,1960-03-27
None,Panathinaikos,GRE,1,1356.9152832,1960-03-28,1960-04-06
None,Panathinaikos,GRE,1,1364.67736816,1960-04-07,1960-05-01
None,Panathinaikos,GRE,1,1369.32800293,1960-05-02,1960-05-08
None,Panathinaikos,GRE,1,1378.55187988,1960-05-09,1960-05-29
None,Panathinaikos,GRE,1,1391.5793457,1960-05-30,1960-06-05
None,Panathinaikos,GRE,1,1395.25756836,1960-06-06,1960-06-12
None,Panathinaikos,GRE,1,1403.39660645,1960-06-13,1960-06-19
None,Panathinaikos,GRE,1,1409.6192627,1960-06-20,1960-06-26
None,Panathinaikos,GRE,1,1415.54418945,1960-06-27,1960-07-17
None,Panathinaikos,GRE,1,1425.05981445,1960-07-18,1960-07-24
None,Panathinaikos,GRE,1,1440.72521973,1960-07-25,1960-09-18
None,Panathinaikos,GRE,1,1449.00134277,1960-09-19,1960-09-25
None,Panathinaikos,GRE,1,1442.38061523,1960-09-26,1960-10-02
None,Panathinaikos,GRE,1,1448.20251465,1960-10-03,1960-10-09
None,Panathinaikos,GRE,1,1455.71276855,1960-10-10,1960-10-16
None,Panathinaikos,GRE,1,1445.71154785,1960-10-17,1960-10-23
None,Panathinaikos,GRE,1,1449.01611328,1960-10-24,1960-10-31
None,Panathinaikos,GRE,1,1452.91906738,1960-11-01,1960-11-06
None,Panathinaikos,GRE,1,1454.38134766,1960-11-07,1960-11-13
None,Panathinaikos,GRE,1,1459.54003906,1960-11-14,1960-11-27
None,Panathinaikos,GRE,1,1466.60803223,1960-11-28,1960-12-07
None,Panathinaikos,GRE,1,1436.9810791,1960-12-08,1960-12-18
None,Panathinaikos,GRE,1,1442.09484863,1960-12-19,1960-12-22
None,Panathinaikos,GRE,1,1445.01953125,1960-12-23,1961-01-04
None,Panathinaikos,GRE,1,1439.43286133,1961-01-05,1961-01-15
None,Panathinaikos,GRE,1,1441.89367676,1961-01-16,1961-01-22
None,Panathinaikos,GRE,1,1443.47192383,1961-01-23,1961-01-29
None,Panathinaikos,GRE,1,1436.26757812,1961-01-30,1961-02-05
None,Panathinaikos,GRE,1,1439.5760498,1961-02-06,1961-02-12
None,Panathinaikos,GRE,1,1445.29528809,1961-02-13,1961-02-19
None,Panathinaikos,GRE,1,1448.56933594,1961-02-20,1961-02-26
None,Panathinaikos,GRE,1,1442.11633301,1961-02-27,1961-03-05
None,Panathinaikos,GRE,1,1444.5970459,1961-03-06,1961-03-15
None,Panathinaikos,GRE,1,1448.73828125,1961-03-16,1961-03-19
None,Panathinaikos,GRE,1,1454.9967041,1961-03-20,1961-03-26
None,Panathinaikos,GRE,1,1460.31225586,1961-03-27,1961-04-23
None,Panathinaikos,GRE,1,1462.75622559,1961-04-24,1961-05-13
None,Panathinaikos,GRE,1,1469.96862793,1961-05-14,1961-05-21
None,Panathinaikos,GRE,1,1478.75476074,1961-05-22,1961-06-04
None,Panathinaikos,GRE,1,1477.48547363,1961-06-05,1961-06-11
None,Panathinaikos,GRE,1,1486.24914551,1961-06-12,1961-06-18
None,Panathinaikos,GRE,1,1479.52026367,1961-06-19,1961-06-25
None,Panathinaikos,GRE,1,1483.74255371,1961-06-26,1961-09-10
None,Panathinaikos,GRE,1,1485.79882812,1961-09-11,1961-09-16
None,Panathinaikos,GRE,1,1488.16137695,1961-09-17,1961-09-20
None,Panathinaikos,GRE,1,1485.78381348,1961-09-21,1961-09-27
None,Panathinaikos,GRE,1,1484.47924805,1961-09-28,1961-10-01
None,Panathinaikos,GRE,1,1494.29675293,1961-10-02,1961-10-08
None,Panathinaikos,GRE,1,1502.76904297,1961-10-09,1961-11-01
None,Panathinaikos,GRE,1,1505.27404785,1961-11-02,1961-11-05
None,Panathinaikos,GRE,1,1499.1661377,1961-11-06,1961-11-12
None,Panathinaikos,GRE,1,1505.35791016,1961-11-13,1961-11-19
None,Panathinaikos,GRE,1,1513.14538574,1961-11-20,1961-11-22
None,Panathinaikos,GRE,1,1496.36584473,1961-11-23,1961-11-26
None,Panathinaikos,GRE,1,1502.27868652,1961-11-27,1961-11-30
None,Panathinaikos,GRE,1,1499.71704102,1961-12-01,1961-12-03
None,Panathinaikos,GRE,1,1504.14367676,1961-12-04,1961-12-10
None,Panathinaikos,GRE,1,1505.66711426,1961-12-11,1961-12-17
None,Panathinaikos,GRE,1,1508.35583496,1961-12-18,1962-01-14
None,Panathinaikos,GRE,1,1509.48901367,1962-01-15,1962-01-21
None,Panathinaikos,GRE,1,1514.85070801,1962-01-22,1962-01-28
None,Panathinaikos,GRE,1,1521.66088867,1962-01-29,1962-02-04
None,Panathinaikos,GRE,1,1523.80285645,1962-02-05,1962-02-11
None,Panathinaikos,GRE,1,1518.82250977,1962-02-12,1962-02-18
