Rank,Club,Country,Level,Elo,From,To
None,Rangers,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Rangers,SCO,1,1607.9564209,1946-08-11,1946-08-14
None,Rangers,SCO,1,1597.87426758,1946-08-15,1946-08-17
None,Rangers,SCO,1,1602.88122559,1946-08-18,1946-08-21
None,Rangers,SCO,1,1624.99536133,1946-08-22,1946-08-28
None,Rangers,SCO,1,1634.9263916,1946-08-29,1946-08-31
None,Rangers,SCO,1,1641.16430664,1946-09-01,1946-09-04
None,Rangers,SCO,1,1635.67272949,1946-09-05,1946-09-07
None,Rangers,SCO,1,1643.76477051,1946-09-08,1946-09-14
None,Rangers,SCO,1,1651.75427246,1946-09-15,1946-09-30
None,Rangers,SCO,1,1645.4453125,1946-10-01,1946-10-20
None,Rangers,SCO,1,1613.4453125,1946-10-21,1946-11-02
None,Rangers,SCO,1,1618.16638184,1946-11-03,1946-11-09
None,Rangers,SCO,1,1634.89477539,1946-11-10,1946-11-16
None,Rangers,SCO,1,1647.52209473,1946-11-17,1946-11-23
None,Rangers,SCO,1,1650.8314209,1946-11-24,1946-11-30
None,Rangers,SCO,1,1648.34057617,1946-12-01,1946-12-07
None,Rangers,SCO,1,1651.59863281,1946-12-08,1946-12-14
None,Rangers,SCO,1,1652.71044922,1946-12-15,1946-12-21
None,Rangers,SCO,1,1655.5637207,1946-12-22,1946-12-28
None,Rangers,SCO,1,1654.54626465,1946-12-29,1947-01-01
None,Rangers,SCO,1,1649.27502441,1947-01-02,1947-01-02
None,Rangers,SCO,1,1657.92810059,1947-01-03,1947-01-04
None,Rangers,SCO,1,1648.41125488,1947-01-05,1947-01-11
None,Rangers,SCO,1,1657.00598145,1947-01-12,1947-01-18
None,Rangers,SCO,1,1661.04443359,1947-01-19,1947-02-01
None,Rangers,SCO,1,1658.29309082,1947-02-02,1947-02-08
None,Rangers,SCO,1,1666.59558105,1947-02-09,1947-02-15
None,Rangers,SCO,1,1674.10766602,1947-02-16,1947-03-29
None,Rangers,SCO,1,1679.78967285,1947-03-30,1947-04-07
None,Rangers,SCO,1,1667.3137207,1947-04-08,1947-04-12
None,Rangers,SCO,1,1670.12866211,1947-04-13,1947-04-13
None,Rangers,SCO,1,1680.12866211,1947-04-14,1947-05-20
None,Rangers,SCO,1,1663.12866211,1947-05-21,1947-05-25
None,Rangers,SCO,1,1665.12866211,1947-05-26,1947-08-13
None,Rangers,SCO,1,1670.45141602,1947-08-14,1947-08-27
None,Rangers,SCO,1,1677.62683105,1947-08-28,1947-09-20
None,Rangers,SCO,1,1682.24475098,1947-09-21,1947-10-05
None,Rangers,SCO,1,1639.24475098,1947-10-06,1947-10-18
None,Rangers,SCO,1,1644.50622559,1947-10-19,1947-10-25
None,Rangers,SCO,1,1633.41638184,1947-10-26,1947-11-01
None,Rangers,SCO,1,1636.17712402,1947-11-02,1947-11-08
None,Rangers,SCO,1,1644.83959961,1947-11-09,1947-11-15
None,Rangers,SCO,1,1620.67614746,1947-11-16,1947-11-22
None,Rangers,SCO,1,1614.4206543,1947-11-23,1947-11-29
None,Rangers,SCO,1,1621.50268555,1947-11-30,1947-12-06
None,Rangers,SCO,1,1628.03894043,1947-12-07,1947-12-13
None,Rangers,SCO,1,1634.24438477,1947-12-14,1947-12-20
None,Rangers,SCO,1,1638.38330078,1947-12-21,1947-12-25
None,Rangers,SCO,1,1645.04089355,1947-12-26,1947-12-27
None,Rangers,SCO,1,1648.20935059,1947-12-28,1948-01-02
None,Rangers,SCO,1,1658.74804688,1948-01-03,1948-01-03
None,Rangers,SCO,1,1660.51489258,1948-01-04,1948-01-10
None,Rangers,SCO,1,1671.45458984,1948-01-11,1948-01-17
None,Rangers,SCO,1,1674.78967285,1948-01-18,1948-01-31
None,Rangers,SCO,1,1667.56787109,1948-02-01,1948-02-14
None,Rangers,SCO,1,1669.36865234,1948-02-15,1948-02-28
None,Rangers,SCO,1,1653.53808594,1948-02-29,1948-03-13
None,Rangers,SCO,1,1658.66162109,1948-03-14,1948-03-20
None,Rangers,SCO,1,1643.12768555,1948-03-21,1948-03-29
None,Rangers,SCO,1,1636.80090332,1948-03-30,1948-04-03
None,Rangers,SCO,1,1634.46105957,1948-04-04,1948-04-11
None,Rangers,SCO,1,1611.46105957,1948-04-12,1948-04-24
None,Rangers,SCO,1,1608.22094727,1948-04-25,1948-04-26
None,Rangers,SCO,1,1610.68481445,1948-04-27,1948-05-01
None,Rangers,SCO,1,1617.12683105,1948-05-02,1948-05-03
None,Rangers,SCO,1,1603.21838379,1948-05-04,1948-05-22
None,Rangers,SCO,1,1594.21838379,1948-05-23,1948-05-26
None,Rangers,SCO,1,1579.21838379,1948-05-27,1948-08-14
None,Rangers,SCO,1,1576.33898926,1948-08-15,1948-08-18
None,Rangers,SCO,1,1578.94702148,1948-08-19,1948-08-21
None,Rangers,SCO,1,1583.93933105,1948-08-22,1948-08-28
None,Rangers,SCO,1,1578.36340332,1948-08-29,1948-09-01
None,Rangers,SCO,1,1577.04296875,1948-09-02,1948-09-04
None,Rangers,SCO,1,1579.46166992,1948-09-05,1948-10-23
None,Rangers,SCO,1,1564.25524902,1948-10-24,1948-10-24
None,Rangers,SCO,1,1607.25524902,1948-10-25,1948-11-06
None,Rangers,SCO,1,1595.27893066,1948-11-07,1948-11-13
None,Rangers,SCO,1,1604.33557129,1948-11-14,1948-11-20
None,Rangers,SCO,1,1612.33557129,1948-11-21,1948-11-27
None,Rangers,SCO,1,1617.86047363,1948-11-28,1948-12-04
None,Rangers,SCO,1,1624.2331543,1948-12-05,1948-12-11
None,Rangers,SCO,1,1629.00402832,1948-12-12,1948-12-18
None,Rangers,SCO,1,1635.81103516,1948-12-19,1948-12-25
None,Rangers,SCO,1,1633.69006348,1948-12-26,1949-01-01
None,Rangers,SCO,1,1639.50012207,1949-01-02,1949-01-03
None,Rangers,SCO,1,1626.75146484,1949-01-04,1949-01-08
None,Rangers,SCO,1,1630.69006348,1949-01-09,1949-01-15
None,Rangers,SCO,1,1619.52099609,1949-01-16,1949-01-29
None,Rangers,SCO,1,1614.15515137,1949-01-30,1949-02-12
None,Rangers,SCO,1,1620.7635498,1949-02-13,1949-02-19
None,Rangers,SCO,1,1630.33898926,1949-02-20,1949-02-26
None,Rangers,SCO,1,1633.32519531,1949-02-27,1949-03-19
None,Rangers,SCO,1,1637.26342773,1949-03-20,1949-04-02
None,Rangers,SCO,1,1641.40649414,1949-04-03,1949-04-05
None,Rangers,SCO,1,1644.41369629,1949-04-06,1949-04-10
None,Rangers,SCO,1,1697.41369629,1949-04-11,1949-04-13
None,Rangers,SCO,1,1701.00097656,1949-04-14,1949-04-16
None,Rangers,SCO,1,1694.16503906,1949-04-17,1949-04-18
None,Rangers,SCO,1,1695.22497559,1949-04-19,1949-04-25
None,Rangers,SCO,1,1699.88037109,1949-04-26,1949-04-28
None,Rangers,SCO,1,1705.88037109,1949-04-29,1949-04-30
None,Rangers,SCO,1,1708.93151855,1949-05-01,1949-09-10
None,Rangers,SCO,1,1712.25305176,1949-09-11,1949-09-24
None,Rangers,SCO,1,1718.02111816,1949-09-25,1949-10-02
None,Rangers,SCO,1,1743.02111816,1949-10-03,1949-10-15
None,Rangers,SCO,1,1750.50891113,1949-10-16,1949-10-22
None,Rangers,SCO,1,1752.91040039,1949-10-23,1949-10-29
None,Rangers,SCO,1,1759.38916016,1949-10-30,1949-11-05
None,Rangers,SCO,1,1752.23583984,1949-11-06,1949-11-12
None,Rangers,SCO,1,1765.6796875,1949-11-13,1949-11-19
None,Rangers,SCO,1,1770.16491699,1949-11-20,1949-11-26
None,Rangers,SCO,1,1771.64074707,1949-11-27,1949-12-03
None,Rangers,SCO,1,1773.03515625,1949-12-04,1949-12-10
None,Rangers,SCO,1,1748.16882324,1949-12-11,1949-12-17
None,Rangers,SCO,1,1749.67150879,1949-12-18,1949-12-24
None,Rangers,SCO,1,1757.30297852,1949-12-25,1949-12-31
None,Rangers,SCO,1,1752.28112793,1950-01-01,1950-01-02
None,Rangers,SCO,1,1750.09179688,1950-01-03,1950-01-03
None,Rangers,SCO,1,1752.2565918,1950-01-04,1950-01-07
None,Rangers,SCO,1,1761.30078125,1950-01-08,1950-01-14
None,Rangers,SCO,1,1763.95812988,1950-01-15,1950-01-21
None,Rangers,SCO,1,1771.61938477,1950-01-22,1950-02-04
None,Rangers,SCO,1,1764.36096191,1950-02-05,1950-02-18
None,Rangers,SCO,1,1769.56103516,1950-02-19,1950-02-25
None,Rangers,SCO,1,1771.4432373,1950-02-26,1950-03-04
None,Rangers,SCO,1,1775.3425293,1950-03-05,1950-03-18
None,Rangers,SCO,1,1777.71191406,1950-03-19,1950-03-25
None,Rangers,SCO,1,1780.64306641,1950-03-26,1950-04-08
None,Rangers,SCO,1,1774.28564453,1950-04-09,1950-04-10
None,Rangers,SCO,1,1777.9197998,1950-04-11,1950-04-16
None,Rangers,SCO,1,1758.9197998,1950-04-17,1950-04-17
None,Rangers,SCO,1,1764.55810547,1950-04-18,1950-04-27
None,Rangers,SCO,1,1769.55810547,1950-04-28,1950-04-29
None,Rangers,SCO,1,1766.65771484,1950-04-30,1950-05-01
None,Rangers,SCO,1,1762.5793457,1950-05-02,1950-05-22
None,Rangers,SCO,1,1759.5793457,1950-05-23,1950-05-28
None,Rangers,SCO,1,1767.5793457,1950-05-29,1950-09-09
None,Rangers,SCO,1,1778.0402832,1950-09-10,1950-09-16
None,Rangers,SCO,1,1771.57043457,1950-09-17,1950-09-23
None,Rangers,SCO,1,1760.56872559,1950-09-24,1950-09-30
None,Rangers,SCO,1,1762.11303711,1950-10-01,1950-10-07
None,Rangers,SCO,1,1751.61560059,1950-10-08,1950-10-14
None,Rangers,SCO,1,1753.52050781,1950-10-15,1950-10-22
None,Rangers,SCO,1,1776.52050781,1950-10-23,1950-10-28
None,Rangers,SCO,1,1761.99121094,1950-10-29,1950-11-04
