Rank,Club,Country,Level,Elo,From,To
None,Shakhtar,URS,1,1271.28710938,1950-01-01,1950-04-16
None,Shakhtar,URS,1,1276.44641113,1950-04-17,1950-04-20
None,Shakhtar,URS,1,1266.17675781,1950-04-21,1950-04-24
None,Shakhtar,URS,1,1264.23266602,1950-04-25,1950-04-28
None,Shakhtar,URS,1,1258.58776855,1950-04-29,1950-05-02
None,Shakhtar,URS,1,1249.16638184,1950-05-03,1950-05-07
None,Shakhtar,URS,1,1256.95837402,1950-05-08,1950-05-16
None,Shakhtar,URS,1,1267.18273926,1950-05-17,1950-05-21
None,Shakhtar,URS,1,1263.90087891,1950-05-22,1950-05-25
None,Shakhtar,URS,1,1254.49719238,1950-05-26,1950-05-31
None,Shakhtar,URS,1,1245.74487305,1950-06-01,1950-06-04
None,Shakhtar,URS,1,1240.19287109,1950-06-05,1950-06-10
None,Shakhtar,URS,1,1242.48718262,1950-06-11,1950-06-13
None,Shakhtar,URS,1,1236.76525879,1950-06-14,1950-06-18
None,Shakhtar,URS,1,1236.6472168,1950-06-19,1950-06-22
None,Shakhtar,URS,1,1227.20007324,1950-06-23,1950-06-28
None,Shakhtar,URS,1,1247.29467773,1950-06-29,1950-07-04
None,Shakhtar,URS,1,1238.23034668,1950-07-05,1950-07-08
None,Shakhtar,URS,1,1233.18261719,1950-07-09,1950-07-11
None,Shakhtar,URS,1,1224.64135742,1950-07-12,1950-07-17
None,Shakhtar,URS,1,1239.73120117,1950-07-18,1950-07-20
None,Shakhtar,URS,1,1251.51782227,1950-07-21,1950-07-26
None,Shakhtar,URS,1,1266.6796875,1950-07-27,1950-07-29
None,Shakhtar,URS,1,1270.70458984,1950-07-30,1950-08-02
None,Shakhtar,URS,1,1277.75549316,1950-08-03,1950-08-07
None,Shakhtar,URS,1,1258.70727539,1950-08-08,1950-08-10
None,Shakhtar,URS,1,1261.19091797,1950-08-11,1950-08-14
None,Shakhtar,URS,1,1272.54943848,1950-08-15,1950-08-20
None,Shakhtar,URS,1,1258.41137695,1950-08-21,1950-08-23
None,Shakhtar,URS,1,1265.83129883,1950-08-24,1950-08-29
None,Shakhtar,URS,1,1265.77490234,1950-08-30,1950-09-01
None,Shakhtar,URS,1,1271.06640625,1950-09-02,1950-09-06
None,Shakhtar,URS,1,1283.22827148,1950-09-07,1950-09-14
None,Shakhtar,URS,1,1270.16259766,1950-09-15,1950-09-17
None,Shakhtar,URS,1,1271.97924805,1950-09-18,1950-09-23
None,Shakhtar,URS,1,1262.19567871,1950-09-24,1950-09-27
None,Shakhtar,URS,1,1254.92199707,1950-09-28,1951-04-08
None,Shakhtar,URS,1,1249.11047363,1951-04-09,1951-04-16
None,Shakhtar,URS,1,1242.24279785,1951-04-17,1951-04-22
None,Shakhtar,URS,1,1233.30371094,1951-04-23,1951-04-29
None,Shakhtar,URS,1,1246.44177246,1951-04-30,1951-05-06
None,Shakhtar,URS,1,1245.12817383,1951-05-07,1951-05-11
None,Shakhtar,URS,1,1247.78942871,1951-05-12,1951-05-19
None,Shakhtar,URS,1,1258.80969238,1951-05-20,1951-05-25
None,Shakhtar,URS,1,1265.43701172,1951-05-26,1951-05-29
None,Shakhtar,URS,1,1274.07226562,1951-05-30,1951-06-02
None,Shakhtar,URS,1,1272.55041504,1951-06-03,1951-06-06
None,Shakhtar,URS,1,1256.75061035,1951-06-07,1951-06-11
None,Shakhtar,URS,1,1269.94384766,1951-06-12,1951-06-16
None,Shakhtar,URS,1,1288.73181152,1951-06-17,1951-06-22
None,Shakhtar,URS,1,1292.90576172,1951-06-23,1951-06-26
None,Shakhtar,URS,1,1282.2286377,1951-06-27,1951-06-30
None,Shakhtar,URS,1,1274.97424316,1951-07-01,1951-07-04
None,Shakhtar,URS,1,1285.48217773,1951-07-05,1951-07-08
